ID,TIME,VALUE,AQI,POLLUTION
1,2023:02:06 08:00:00,-0.0,352,Hazardous
2,2023:02:06 08:00:00,-0.0,304,Hazardous
3,2023:02:06 08:00:00,-0.0,272,Very unhealthy
1,2023:02:06 09:00:00,-0.0,320,Hazardous
2,2023:02:06 09:00:00,-0.0,320,Hazardous
3,2023:02:06 09:00:00,-0.0,320,Hazardous
1,2023:02:06 10:00:00,-0.0,288,Very unhealthy
2,2023:02:06 10:00:00,-0.0,288,Very unhealthy
3,2023:02:06 10:00:00,-0.0,320,Hazardous
1,2023:02:06 11:00:00,-0.0,352,Hazardous
2,2023:02:06 11:00:00,-0.0,320,Hazardous
3,2023:02:06 11:00:00,-0.0,336,Hazardous
