id,time,values,aqi,pollution
03,2023:03:12 14:44:22,387.0,418,Extremely hazardous
04,2023:03:12 14:44:22,38.8,108,Slightly unhealthy
05,2023:03:12 14:44:22,126.1,187,Unhealthy
06,2023:03:12 14:44:22,447.2,448,Extremely hazardous
07,2023:03:12 14:44:22,328.0,378,Hazardous
08,2023:03:12 14:44:22,30.8,90,Moderate
09,2023:03:12 14:44:22,324.2,374,Hazardous
10,2023:03:12 14:44:22,101.5,174,Unhealthy
01,2023:03:12 14:45:12,93.5,170,Unhealthy
02,2023:03:12 14:45:12,143.2,196,Unhealthy
03,2023:03:12 14:45:12,470.9,460,Extremely hazardous
04,2023:03:12 14:45:12,451.6,451,Extremely hazardous
05,2023:03:12 14:45:12,64.2,155,Unhealthy
06,2023:03:12 14:45:12,406.4,428,Extremely hazardous
07,2023:03:12 14:45:12,251.3,301,Hazardous
08,2023:03:12 14:45:12,263.0,313,Hazardous
09,2023:03:12 14:45:12,24.4,76,Moderate
10,2023:03:12 14:45:12,303.2,353,Hazardous
01,2023:03:12 14:46:02,255.6,305,Hazardous
02,2023:03:12 14:46:02,105.5,176,Unhealthy
03,2023:03:12 14:46:02,436.9,443,Extremely hazardous
04,2023:03:12 14:46:02,230.1,280,Very unhealthy
05,2023:03:12 14:46:02,367.4,408,Extremely hazardous
06,2023:03:12 14:46:02,407.6,429,Extremely hazardous
07,2023:03:12 14:46:02,89.0,168,Unhealthy
08,2023:03:12 14:46:02,367.1,408,Extremely hazardous
09,2023:03:12 14:46:02,356.6,403,Extremely hazardous
10,2023:03:12 14:46:02,502.8,476,Extremely hazardous
01,2023:03:12 14:46:52,280.7,330,Hazardous
02,2023:03:12 14:46:52,481.7,466,Extremely hazardous
03,2023:03:12 14:46:52,209.4,259,Very unhealthy
04,2023:03:12 14:46:52,464.1,457,Extremely hazardous
05,2023:03:12 14:46:52,232.7,282,Very unhealthy
06,2023:03:12 14:46:52,459.0,454,Extremely hazardous
07,2023:03:12 14:46:52,129.9,189,Unhealthy
08,2023:03:12 14:46:52,445.8,448,Extremely hazardous
09,2023:03:12 14:46:52,479.1,464,Extremely hazardous
10,2023:03:12 14:46:52,225.6,275,Very unhealthy
01,2023:03:12 14:47:42,443.7,447,Extremely hazardous
02,2023:03:12 14:47:42,302.1,352,Hazardous
03,2023:03:12 14:47:42,496.3,473,Extremely hazardous
04,2023:03:12 14:47:42,72.2,159,Unhealthy
05,2023:03:12 14:47:42,248.3,298,Very unhealthy
06,2023:03:12 14:47:42,189.6,239,Very unhealthy
07,2023:03:12 14:47:42,232.0,282,Very unhealthy
08,2023:03:12 14:47:42,130.2,189,Unhealthy
09,2023:03:12 14:47:42,280.7,330,Hazardous
10,2023:03:12 14:47:42,483.2,466,Extremely hazardous
01,2023:03:12 14:48:32,166.8,216,Very unhealthy
02,2023:03:12 14:48:32,3.4,14,Good
03,2023:03:12 14:48:32,309.6,359,Hazardous
04,2023:03:12 14:48:32,276.6,326,Hazardous
05,2023:03:12 14:48:32,502.1,476,Extremely hazardous
06,2023:03:12 14:48:32,463.9,457,Extremely hazardous
07,2023:03:12 14:48:32,261.4,311,Hazardous
08,2023:03:12 14:48:32,311.2,361,Hazardous
09,2023:03:12 14:48:32,19.7,66,Moderate
10,2023:03:12 14:48:32,409.6,430,Extremely hazardous
01,2023:03:12 14:49:22,403.1,426,Extremely hazardous
02,2023:03:12 14:49:22,126.1,187,Unhealthy
03,2023:03:12 14:49:22,448.0,449,Extremely hazardous
04,2023:03:12 14:49:22,253.1,303,Hazardous
05,2023:03:12 14:49:22,496.7,473,Extremely hazardous
06,2023:03:12 14:49:22,54.7,148,Slightly unhealthy
07,2023:03:12 14:49:22,350.5,400,Extremely hazardous
08,2023:03:12 14:49:22,394.5,422,Extremely hazardous
09,2023:03:12 14:49:22,477.4,463,Extremely hazardous
10,2023:03:12 14:49:22,364.8,407,Extremely hazardous
01,2023:03:12 14:50:12,208.2,258,Very unhealthy
02,2023:03:12 14:50:12,75.1,160,Unhealthy
03,2023:03:12 14:50:12,388.9,419,Extremely hazardous
04,2023:03:12 14:50:12,205.3,255,Very unhealthy
05,2023:03:12 14:50:12,483.7,467,Extremely hazardous
06,2023:03:12 14:50:12,415.8,433,Extremely hazardous
07,2023:03:12 14:50:12,414.3,432,Extremely hazardous
08,2023:03:12 14:50:12,81.9,164,Unhealthy
09,2023:03:12 14:50:12,353.9,402,Extremely hazardous
10,2023:03:12 14:50:12,372.0,411,Extremely hazardous
01,2023:03:12 14:51:02,301.3,351,Hazardous
02,2023:03:12 14:51:02,492.1,471,Extremely hazardous
03,2023:03:12 14:51:02,200.3,250,Very unhealthy
04,2023:03:12 14:51:02,165.4,215,Very unhealthy
05,2023:03:12 14:51:02,341.3,391,Hazardous
06,2023:03:12 14:51:02,55.9,150,Unhealthy
07,2023:03:12 14:51:02,150.5,200,Very unhealthy
08,2023:03:12 14:51:02,456.9,453,Extremely hazardous
09,2023:03:12 14:51:02,502.1,476,Extremely hazardous
10,2023:03:12 14:51:02,208.6,258,Very unhealthy
01,2023:03:12 14:51:52,461.3,455,Extremely hazardous
02,2023:03:12 14:51:52,278.9,328,Hazardous
03,2023:03:12 14:51:52,355.1,402,Extremely hazardous
04,2023:03:12 14:51:52,141.2,195,Unhealthy
05,2023:03:12 14:51:52,263.8,313,Hazardous
06,2023:03:12 14:51:52,469.3,459,Extremely hazardous
07,2023:03:12 14:51:52,483.8,467,Extremely hazardous
08,2023:03:12 14:51:52,52.0,141,Slightly unhealthy
09,2023:03:12 14:51:52,219.1,269,Very unhealthy
10,2023:03:12 14:51:52,382.9,416,Extremely hazardous
01,2023:03:12 14:52:42,206.0,256,Very unhealthy
02,2023:03:12 14:52:42,261.2,311,Hazardous
03,2023:03:12 14:52:42,379.0,414,Extremely hazardous
04,2023:03:12 14:52:42,129.1,189,Unhealthy
05,2023:03:12 14:52:42,78.5,162,Unhealthy
06,2023:03:12 14:52:42,297.9,347,Hazardous
07,2023:03:12 14:52:42,33.9,97,Moderate
08,2023:03:12 14:52:42,289.8,339,Hazardous
09,2023:03:12 14:52:42,192.0,242,Very unhealthy
10,2023:03:12 14:52:42,351.6,401,Extremely hazardous
01,2023:03:12 14:53:32,262.2,312,Hazardous
02,2023:03:12 14:53:32,98.5,173,Unhealthy
03,2023:03:12 14:53:32,462.8,456,Extremely hazardous
04,2023:03:12 14:53:32,59.2,152,Unhealthy
05,2023:03:12 14:53:32,165.1,215,Very unhealthy
06,2023:03:12 14:53:32,290.2,340,Hazardous
07,2023:03:12 14:53:32,65.4,155,Unhealthy
08,2023:03:12 14:53:32,283.3,333,Hazardous
09,2023:03:12 14:53:32,22.8,73,Moderate
10,2023:03:12 14:53:32,521.5,486,Extremely hazardous
01,2023:03:12 14:54:22,527.5,489,Extremely hazardous
02,2023:03:12 14:54:22,123.8,186,Unhealthy
03,2023:03:12 14:54:22,259.1,309,Hazardous
04,2023:03:12 14:54:22,54.4,147,Slightly unhealthy
05,2023:03:12 14:54:22,408.6,429,Extremely hazardous
06,2023:03:12 14:54:22,467.5,459,Extremely hazardous
07,2023:03:12 14:54:22,395.7,423,Extremely hazardous
08,2023:03:12 14:54:22,169.5,219,Very unhealthy
09,2023:03:12 14:54:22,174.8,224,Very unhealthy
10,2023:03:12 14:54:22,464.4,457,Extremely hazardous
01,2023:03:12 14:55:12,282.4,332,Hazardous
02,2023:03:12 14:55:12,234.1,284,Very unhealthy
03,2023:03:12 14:55:12,160.3,210,Very unhealthy
04,2023:03:12 14:55:12,494.6,472,Extremely hazardous
05,2023:03:12 14:55:12,429.1,439,Extremely hazardous
06,2023:03:12 14:55:12,507.2,478,Extremely hazardous
07,2023:03:12 14:55:12,17.6,62,Moderate
08,2023:03:12 14:55:12,339.0,389,Hazardous
09,2023:03:12 14:55:12,418.4,434,Extremely hazardous
10,2023:03:12 14:55:12,23.1,74,Moderate
01,2023:03:12 14:56:02,464.1,457,Extremely hazardous
02,2023:03:12 14:56:02,379.6,415,Extremely hazardous
03,2023:03:12 14:56:02,525.1,487,Extremely hazardous
04,2023:03:12 14:56:02,4.9,20,Good
05,2023:03:12 14:56:02,52.2,142,Slightly unhealthy
06,2023:03:12 14:56:02,191.0,241,Very unhealthy
07,2023:03:12 14:56:02,523.7,487,Extremely hazardous
08,2023:03:12 14:56:02,194.4,244,Very unhealthy
09,2023:03:12 14:56:02,28.4,85,Moderate
10,2023:03:12 14:56:02,96.1,171,Unhealthy
01,2023:03:12 14:56:52,381.7,416,Extremely hazardous
02,2023:03:12 14:56:52,259.2,309,Hazardous
03,2023:03:12 14:56:52,132.8,191,Unhealthy
04,2023:03:12 14:56:52,479.4,464,Extremely hazardous
05,2023:03:12 14:56:52,21.3,70,Moderate
06,2023:03:12 14:56:52,190.6,240,Very unhealthy
07,2023:03:12 14:56:52,59.9,152,Unhealthy
08,2023:03:12 14:56:52,158.8,208,Very unhealthy
09,2023:03:12 14:56:52,93.7,170,Unhealthy
10,2023:03:12 14:56:52,155.1,205,Very unhealthy
01,2023:03:12 14:57:42,350.5,400,Extremely hazardous
02,2023:03:12 14:57:42,354.6,402,Extremely hazardous
03,2023:03:12 14:57:42,188.1,238,Very unhealthy
04,2023:03:12 14:57:42,489.4,469,Extremely hazardous
05,2023:03:12 14:57:42,69.5,157,Unhealthy
06,2023:03:12 14:57:42,186.0,236,Very unhealthy
07,2023:03:12 14:57:42,351.6,401,Extremely hazardous
08,2023:03:12 14:57:42,153.8,203,Very unhealthy
09,2023:03:12 14:57:42,364.5,407,Extremely hazardous
10,2023:03:12 14:57:42,412.5,431,Extremely hazardous
01,2023:03:12 14:58:32,328.2,378,Hazardous
02,2023:03:12 14:58:32,484.9,467,Extremely hazardous
03,2023:03:12 14:58:32,469.7,460,Extremely hazardous
04,2023:03:12 14:58:32,504.8,477,Extremely hazardous
05,2023:03:12 14:58:32,486.3,468,Extremely hazardous
06,2023:03:12 14:58:32,506.8,478,Extremely hazardous
07,2023:03:12 14:58:32,250.5,300,Hazardous
08,2023:03:12 14:58:32,337.2,387,Hazardous
09,2023:03:12 14:58:32,330.2,380,Hazardous
10,2023:03:12 14:58:32,286.9,336,Hazardous
01,2023:03:12 14:59:22,49.4,135,Slightly unhealthy
02,2023:03:12 14:59:22,88.2,167,Unhealthy
03,2023:03:12 14:59:22,403.5,427,Extremely hazardous
04,2023:03:12 14:59:22,216.4,266,Very unhealthy
05,2023:03:12 14:59:22,252.1,302,Hazardous
06,2023:03:12 14:59:22,226.6,276,Very unhealthy
07,2023:03:12 14:59:22,310.8,360,Hazardous
08,2023:03:12 14:59:22,37.3,105,Slightly unhealthy
09,2023:03:12 14:59:22,453.5,452,Extremely hazardous
10,2023:03:12 14:59:22,378.3,414,Extremely hazardous
01,2023:03:12 15:00:12,350.9,400,Extremely hazardous
02,2023:03:12 15:00:12,190.2,240,Very unhealthy
03,2023:03:12 15:00:12,224.3,274,Very unhealthy
04,2023:03:12 15:00:12,122.6,185,Unhealthy
05,2023:03:12 15:00:12,421.4,435,Extremely hazardous
06,2023:03:12 15:00:12,96.6,172,Unhealthy
07,2023:03:12 15:00:12,295.7,345,Hazardous
08,2023:03:12 15:00:12,220.0,270,Very unhealthy
09,2023:03:12 15:00:12,426.3,438,Extremely hazardous
10,2023:03:12 15:00:12,335.1,385,Hazardous
01,2023:03:12 15:01:02,488.3,469,Extremely hazardous
02,2023:03:12 15:01:02,417.9,434,Extremely hazardous
03,2023:03:12 15:01:02,0.7,3,Good
04,2023:03:12 15:01:02,218.7,268,Very unhealthy
05,2023:03:12 15:01:02,440.2,445,Extremely hazardous
06,2023:03:12 15:01:02,353.9,402,Extremely hazardous
07,2023:03:12 15:01:02,410.6,430,Extremely hazardous
08,2023:03:12 15:01:02,526.2,488,Extremely hazardous
09,2023:03:12 15:01:02,354.6,402,Extremely hazardous
10,2023:03:12 15:01:02,335.7,385,Hazardous
01,2023:03:12 15:01:52,441.4,445,Extremely hazardous
02,2023:03:12 15:01:52,192.3,242,Very unhealthy
03,2023:03:12 15:01:52,254.3,304,Hazardous
04,2023:03:12 15:01:52,336.4,386,Hazardous
05,2023:03:12 15:01:52,513.5,482,Extremely hazardous
06,2023:03:12 15:01:52,66.5,156,Unhealthy
07,2023:03:12 15:01:52,151.1,201,Very unhealthy
08,2023:03:12 15:01:52,340.7,390,Hazardous
09,2023:03:12 15:01:52,209.9,259,Very unhealthy
10,2023:03:12 15:01:52,338.2,388,Hazardous
01,2023:03:12 15:02:42,50.3,137,Slightly unhealthy
02,2023:03:12 15:02:42,467.4,458,Extremely hazardous
03,2023:03:12 15:02:42,464.2,457,Extremely hazardous
04,2023:03:12 15:02:42,311.1,361,Hazardous
05,2023:03:12 15:02:42,529.8,490,Extremely hazardous
06,2023:03:12 15:02:42,380.5,415,Extremely hazardous
07,2023:03:12 15:02:42,420.8,435,Extremely hazardous
08,2023:03:12 15:02:42,142.8,196,Unhealthy
09,2023:03:12 15:02:42,45.6,125,Slightly unhealthy
10,2023:03:12 15:02:42,51.2,139,Slightly unhealthy
01,2023:03:12 15:03:32,470.9,460,Extremely hazardous
02,2023:03:12 15:03:32,343.2,393,Hazardous
03,2023:03:12 15:03:32,330.2,380,Hazardous
04,2023:03:12 15:03:32,356.2,403,Extremely hazardous
05,2023:03:12 15:03:32,520.3,485,Extremely hazardous
06,2023:03:12 15:03:32,178.4,228,Very unhealthy
07,2023:03:12 15:03:32,383.9,417,Extremely hazardous
08,2023:03:12 15:03:32,476.8,463,Extremely hazardous
09,2023:03:12 15:03:32,481.0,465,Extremely hazardous
10,2023:03:12 15:03:32,500.5,475,Extremely hazardous
01,2023:03:12 15:04:22,535.3,492,Extremely hazardous
02,2023:03:12 15:04:22,467.2,458,Extremely hazardous
03,2023:03:12 15:04:22,454.4,452,Extremely hazardous
04,2023:03:12 15:04:22,274.7,324,Hazardous
05,2023:03:12 15:04:22,374.8,412,Extremely hazardous
06,2023:03:12 15:04:22,324.3,374,Hazardous
